id,city_name,signup_os,signup_channel,signup_date,bgc_date,vehicle_added_date,vehicle_make,vehicle_model,vehicle_year,first_completed_date
1,Strark,ios web,Paid,1/2/16,,,,,,
2,Strark,windows,Paid,1/21/16,,,,,,
3,Wrouver,windows,Organic,1/11/16,1/11/16,,,,,
4,Berton,android web,Referral,1/29/16,2/3/16,2/3/16,Toyota,Corolla,2016.0,2/3/16
5,Strark,android web,Referral,1/10/16,1/25/16,1/26/16,Hyundai,Sonata,2016.0,
6,Strark,android web,Referral,1/18/16,1/18/16,1/22/16,Cadillac,DTS,2006.0,
7,Strark,ios web,Paid,1/14/16,1/16/16,1/21/16,Toyota,Prius V,2014.0,1/23/16
8,Strark,ios web,Referral,1/26/16,2/5/16,,,,,
9,Strark,,Referral,1/5/16,,,,,,
10,Berton,ios web,Paid,1/25/16,,,,,,
11,Strark,ios web,Referral,1/18/16,2/9/16,2/24/16,Kia,Optima,2015.0,
12,Berton,mac,Paid,1/4/16,,,,,,
13,Strark,android web,Referral,1/12/16,1/12/16,1/12/16,Kia,Optima,2015.0,1/28/16
14,Strark,ios web,Paid,1/13/16,1/20/16,,,,,
15,Strark,windows,Paid,1/2/16,1/7/16,,,,,
16,Strark,windows,Referral,1/15/16,1/17/16,1/17/16,Toyota,Prius V,2015.0,1/16/16
17,Wrouver,ios web,Paid,1/24/16,,,,,,
18,Strark,android web,Paid,1/21/16,1/25/16,,,,,
19,Berton,ios web,Organic,1/16/16,1/17/16,,,,,
20,Strark,ios web,Organic,1/7/16,,,,,,
21,Berton,ios web,Paid,1/6/16,1/15/16,2/6/16,Dodge,Durango,2015.0,
22,Berton,ios web,Organic,1/8/16,,,,,,
23,Wrouver,ios web,Paid,1/14/16,1/26/16,,,,,
24,Berton,other,Paid,1/29/16,,,,,,
25,Berton,mac,Organic,1/14/16,2/26/16,,,,,
26,Strark,windows,Paid,1/14/16,1/27/16,,,,,
27,Strark,android web,Referral,1/2/16,1/3/16,1/28/16,Mercedes-Benz,C-Class,2016.0,
28,Strark,,Organic,1/28/16,2/12/16,2/19/16,Hyundai,Sonata,2016.0,
29,Strark,android web,Organic,1/21/16,2/8/16,2/22/16,Infiniti,G Sedan,2010.0,
30,Strark,android web,Referral,1/4/16,1/20/16,,,,,
31,Berton,ios web,Paid,1/2/16,,,,,,
32,Strark,android web,Organic,1/13/16,2/9/16,,,,,
33,Berton,android web,Referral,1/6/16,1/12/16,1/25/16,Honda,Civic,2015.0,
34,Berton,android web,Organic,1/20/16,1/21/16,,,,,
35,Berton,ios web,Paid,1/26/16,,,,,,
36,Strark,other,Paid,1/20/16,2/2/16,,,,,
37,Strark,mac,Organic,1/18/16,1/31/16,,,,,
38,Strark,mac,Referral,1/9/16,,,,,,
39,Strark,windows,Organic,1/11/16,1/22/16,,,,,
40,Strark,android web,Organic,1/18/16,2/10/16,,,,,
41,Berton,ios web,Paid,1/17/16,1/17/16,,,,,
42,Berton,ios web,Paid,1/16/16,,,,,,
43,Strark,ios web,Referral,1/7/16,1/24/16,,,,,
44,Berton,android web,Referral,1/29/16,1/30/16,2/1/16,Toyota,Corolla,2015.0,2/4/16
45,Strark,mac,Paid,1/14/16,1/23/16,,,,,
46,Strark,windows,Referral,1/10/16,1/12/16,1/15/16,Honda,Civic,2015.0,1/22/16
47,Strark,ios web,Referral,1/16/16,2/15/16,,,,,
48,Strark,android web,Paid,1/1/16,,,,,,
49,Strark,mac,Organic,1/4/16,1/7/16,,,,,
50,Strark,ios web,Organic,1/26/16,2/4/16,2/11/16,Toyota,Prius V,2012.0,
51,Berton,android web,Paid,1/22/16,1/23/16,,,,,
52,Berton,other,Organic,1/6/16,1/18/16,,,,,
53,Wrouver,ios web,Paid,1/21/16,1/29/16,1/30/16,Fiat,500X,2016.0,
54,Berton,windows,Organic,1/7/16,,,,,,
55,Berton,mac,Paid,1/1/16,1/17/16,,,,,
56,Wrouver,ios web,Organic,1/10/16,1/19/16,,,,,
57,Strark,ios web,Paid,1/28/16,1/30/16,2/6/16,Toyota,Prius V,2012.0,2/5/16
58,Strark,android web,Referral,1/24/16,2/10/16,,,,,
59,Berton,ios web,Organic,1/4/16,,,,,,
60,Berton,,Referral,1/4/16,1/4/16,,,,,
61,Strark,ios web,Organic,1/21/16,1/27/16,,,,,
62,Strark,ios web,Organic,1/27/16,1/27/16,,,,,
63,Berton,android web,Paid,1/24/16,,,,,,
64,Strark,,Organic,1/10/16,,,,,,
65,Berton,android web,Organic,1/21/16,,,,,,
66,Strark,other,Paid,1/13/16,2/19/16,,,,,
67,Strark,other,Organic,1/27/16,2/22/16,,,,,
68,Berton,ios web,Organic,1/25/16,,,,,,
69,Strark,ios web,Paid,1/22/16,2/8/16,2/18/16,Cadillac,Escalade,2011.0,
70,Strark,ios web,Organic,1/5/16,1/11/16,,,,,
71,Berton,windows,Paid,1/7/16,1/19/16,,,,,
72,Strark,ios web,Paid,1/18/16,1/19/16,,,,,
73,Strark,android web,Organic,1/21/16,,,,,,
74,Strark,android web,Referral,1/27/16,,,,,,
75,Wrouver,ios web,Referral,1/5/16,,2/3/16,Acura,RDX,2008.0,
76,Strark,android web,Organic,1/26/16,1/29/16,,,,,
77,Strark,,Referral,1/29/16,2/8/16,,,,,
78,Berton,ios web,Organic,1/16/16,1/19/16,,,,,
79,Strark,windows,Referral,1/20/16,1/24/16,2/17/16,Lexus,ES,2010.0,
80,Berton,android web,Organic,1/14/16,2/6/16,,,,,
81,Berton,ios web,Organic,1/23/16,2/5/16,,,,,
82,Strark,ios web,Referral,1/26/16,1/26/16,1/26/16,Toyota,Prius,2015.0,2/7/16
83,Berton,ios web,Organic,1/15/16,1/29/16,,,,,
84,Strark,windows,Paid,1/8/16,1/30/16,,,,,
