36000,Strark,windows,Organic,1/18/16,1/22/16,2/9/16,Hyundai,Sonata,2013.0,
36001,Strark,ios web,Referral,1/25/16,2/3/16,,,,,
36002,Berton,ios web,Referral,1/4/16,1/12/16,2/22/16,Ford,Fusion,2016.0,
36003,Strark,other,Organic,1/22/16,2/22/16,,,,,
36004,Strark,ios web,Organic,1/14/16,1/25/16,,,,,
36005,Wrouver,ios web,Referral,1/20/16,1/22/16,1/22/16,Toyota,Prius,2012.0,1/28/16
36006,Strark,,Referral,1/23/16,1/27/16,,,,,
36007,Berton,ios web,Referral,1/13/16,1/17/16,1/28/16,Chevrolet,Silverado 1500,2016.0,
36008,Wrouver,ios web,Paid,1/18/16,1/18/16,,,,,
36009,Strark,ios web,Paid,1/14/16,,,,,,
36010,Strark,ios web,Paid,1/27/16,2/5/16,,,,,
36011,Strark,ios web,Paid,1/14/16,2/13/16,,,,,
36012,Berton,android web,Organic,1/3/16,1/12/16,,,,,
36013,Berton,other,Paid,1/16/16,,,,,,
36014,Strark,ios web,Paid,1/25/16,2/1/16,,,,,
36015,Strark,android web,Organic,1/23/16,,2/26/16,Nissan,Altima,2014.0,
36016,Berton,ios web,Referral,1/27/16,1/28/16,2/11/16,Jeep,Grand Cherokee,2005.0,
36017,Wrouver,android web,Paid,1/9/16,1/19/16,,,,,
36018,Berton,windows,Referral,1/23/16,1/23/16,,,,,
36019,Strark,ios web,Organic,1/13/16,1/17/16,,,,,
36020,Berton,android web,Paid,1/25/16,2/14/16,,,,,
36021,Berton,,Referral,1/7/16,1/8/16,1/15/16,Nissan,LEAF,2013.0,
36022,Strark,windows,Organic,1/5/16,1/5/16,1/8/16,Nissan,Rogue,2012.0,
36023,Strark,android web,Referral,1/5/16,1/15/16,2/1/16,Nissan,Altima,2003.0,
36024,Strark,ios web,Paid,1/24/16,,,,,,
36025,Strark,android web,Paid,1/9/16,2/15/16,,,,,
36026,Strark,ios web,Organic,1/27/16,2/10/16,,,,,
36027,Strark,,Organic,1/24/16,2/3/16,,,,,
36028,Berton,mac,Paid,1/2/16,,,,,,
36029,Strark,ios web,Paid,1/3/16,,,,,,
36030,Strark,android web,Referral,1/22/16,2/14/16,,,,,
36031,Strark,ios web,Referral,1/21/16,1/21/16,1/22/16,Hyundai,Sonata,2016.0,2/3/16
36032,Berton,other,Organic,1/22/16,1/24/16,,,,,
36033,Strark,windows,Paid,1/2/16,1/16/16,,,,,
36034,Strark,android web,Referral,1/6/16,1/7/16,1/9/16,Chrysler,PT Cruiser,2003.0,1/9/16
36035,Strark,mac,Paid,1/9/16,,,,,,
36036,Wrouver,,Organic,1/25/16,2/4/16,,,,,
36037,Wrouver,windows,Paid,1/20/16,1/25/16,,,,,
36038,Berton,,Organic,1/23/16,1/25/16,,,,,
36039,Strark,android web,Paid,1/30/16,,,,,,
36040,Strark,android web,Referral,1/8/16,1/8/16,1/8/16,Toyota,Corolla,2015.0,1/9/16
36041,Strark,ios web,Paid,1/20/16,1/21/16,,,,,
36042,Strark,,Organic,1/24/16,2/4/16,,,,,
36043,Berton,android web,Referral,1/11/16,2/3/16,2/29/16,Honda,Fit,2015.0,
36044,Berton,ios web,Paid,1/25/16,,,,,,
36045,Strark,,Referral,1/3/16,2/3/16,,,,,
36046,Strark,ios web,Organic,1/29/16,2/14/16,,,,,
36047,Wrouver,other,Paid,1/15/16,1/24/16,1/28/16,Toyota,Prius,2015.0,
36048,Strark,windows,Organic,1/22/16,1/22/16,,,,,
36049,Berton,ios web,Referral,1/3/16,2/2/16,,,,,
36050,Berton,other,Referral,1/22/16,1/26/16,,,,,
36051,Berton,mac,Paid,1/10/16,1/23/16,,,,,
36052,Berton,android web,Paid,1/12/16,2/1/16,,,,,
36053,Strark,android web,Paid,1/15/16,,,,,,
36054,Berton,other,Organic,1/5/16,1/5/16,1/5/16,Honda,CR-V,2004.0,1/7/16
36055,Wrouver,windows,Paid,1/4/16,,,,,,
36056,Strark,windows,Paid,1/20/16,1/21/16,1/26/16,Honda,Pilot,2007.0,
36057,Strark,android web,Paid,1/8/16,,,,,,
36058,Strark,ios web,Organic,1/20/16,1/26/16,,,,,
36059,Strark,android web,Referral,1/11/16,1/14/16,1/17/16,Kia,Soul,2012.0,1/26/16
36060,Strark,,Referral,1/5/16,,,,,,
36061,Strark,android web,Organic,1/2/16,1/11/16,,,,,
36062,Strark,,Organic,1/16/16,,,,,,
36063,Strark,,Organic,1/20/16,,,,,,
36064,Berton,mac,Referral,1/4/16,1/14/16,1/20/16,Nissan,Sentra,2015.0,1/30/16
36065,Berton,other,Paid,1/7/16,1/13/16,1/14/16,Nissan,Altima,2012.0,
36066,Berton,,Organic,1/28/16,,,,,,
36067,Strark,android web,Referral,1/20/16,1/31/16,2/18/16,Volkswagen,Jetta SportWagen,2015.0,
36068,Strark,ios web,Paid,1/29/16,1/29/16,2/26/16,BMW,5-series,2005.0,
36069,Berton,ios web,Paid,1/28/16,2/10/16,,,,,
36070,Strark,mac,Organic,1/10/16,1/21/16,1/26/16,Toyota,Prius,2013.0,2/3/16
36071,Strark,ios web,Referral,1/24/16,,,,,,
36072,Berton,android web,Referral,1/13/16,,,,,,
36073,Strark,android web,Paid,1/18/16,1/19/16,,,,,
36074,Strark,,Referral,1/1/16,,,Mercedes-Benz,ML 350,2004.0,
36075,Strark,mac,Organic,1/23/16,,,,,,
36076,Wrouver,other,Paid,1/29/16,2/13/16,,,,,
36077,Berton,ios web,Referral,1/26/16,1/28/16,1/29/16,Toyota,Camry,2009.0,
36078,Strark,android web,Paid,1/16/16,1/16/16,,,,,
36079,Strark,android web,Referral,1/1/16,,,,,,
36080,Berton,mac,Organic,1/14/16,1/31/16,,,,,
36081,Strark,android web,Referral,1/18/16,,,,,,
36082,Berton,windows,Organic,1/8/16,2/6/16,,,,,
36083,Strark,ios web,Paid,1/24/16,1/26/16,,,,,
36084,Wrouver,other,Paid,1/11/16,1/17/16,,,,,
